time,result,confidence,fruit,ripeness
2026-04-15 01:50:36.431514,2 Overripe,94.45773363113403,,
2026-04-15 01:51:58.787685,2 Overripe,96.84516191482544,,
2026-04-15 01:54:15.555550,1 Ripe,98.25818538665771,,
2026-04-15 01:54:40.671134,1 Ripe,98.25818538665771,,
2026-04-15 01:54:52.121263,1 Ripe,61.722493171691895,,
2026-04-15 01:55:11.646265,2 Overripe,98.14691543579102,,
2026-04-15 01:55:26.731427,1 Ripe,98.25818538665771,,
2026-04-16 13:58:23.738342,2 Overripe,98.14691543579102,,
2026-04-16 13:59:08.521530,1 Ripe,99.99983310699464,,
2026-04-16 13:59:26.245364,0 Unripe,99.80886578559875,,
2026-04-16 15:23:25.096833,1 Ripe,99.99983310699464,,
2026-04-16 15:23:42.354805,0 Unripe,99.99985694885254,,
2026-04-16 15:24:41.941285,1 Ripe,99.93645548820496,,
2026-04-16 15:47:06.639596,1 Ripe,99.91993308067322,,
2026-04-16 16:18:24.160068,4 Ripe Banana,99.99901056289671,,
2026-04-16 16:18:40.156359,8 Overripe Mango,99.9705970287323,,
2026-04-16 16:18:56.495154,2 Overripe Apple,99.66429471969604,,
2026-04-16 16:19:06.587280,2 Overripe Apple,99.92403984069824,,
2026-04-16 16:19:14.978314,2 Overripe Apple,90.8433735370636,,
2026-04-16 16:19:20.180454,2 Overripe Apple,99.8469054698944,,
2026-04-16 16:19:25.536811,2 Overripe Apple,99.9968647956848,,
2026-04-16 16:19:31.600648,2 Overripe Apple,50.94010829925537,,
2026-04-16 16:19:43.610748,1 Ripe Apple,74.96729493141174,,
2026-04-16 16:19:53.110689,6 Unripe Mango,66.43338799476624,,
2026-04-16 16:20:02.428039,1 Ripe Apple,99.72208738327026,,
2026-04-16 16:20:08.847116,2 Overripe Apple,99.8158633708954,,
2026-04-16 16:20:16.437637,11 Overripe Orange,94.4598376750946,,
2026-04-16 16:20:21.953629,2 Overripe Apple,99.97321963310242,,
2026-04-16 16:20:33.344833,14 Overripe Tomato,99.86935257911682,,
2026-04-16 23:57:11.573631,2 Overripe Apple,99.92403984069824,,
2026-04-16 23:57:40.503505,1 Ripe Apple,99.99992847442628,,
2026-04-16 23:57:53.102475,1 Ripe Apple,99.99384880065918,,
2026-04-16 23:58:01.313828,4 Ripe Banana,99.99998807907104,,
2026-04-16 23:58:21.853895,4 Ripe Banana,100.0,,
2026-04-16 23:58:35.439702,0 Unripe Apple,79.88682389259338,,
2026-04-16 23:58:49.704605,0 Unripe Apple,99.97097849845886,,
2026-04-16 23:59:00.167911,4 Ripe Banana,66.65667295455933,,
2026-04-17 00:01:29.057633,1 Ripe Apple,100.0,,
2026-04-17 00:01:43.695539,1 Ripe Apple,100.0,,
2026-04-17 00:02:03.157660,4 Ripe Banana,99.99997615814208,,
2026-04-17 00:08:29.865515,4 Ripe Banana,99.0570902824402,,
2026-04-17 00:08:39.815546,1 Ripe Apple,100.0,,
2026-04-17 00:13:59.933264,1 Ripe Apple,100.0,,
2026-04-17 00:14:10.739996,4 Ripe Banana,96.3865041732788,,
2026-04-17 00:14:19.549701,4 Ripe Banana,100.0,,
2026-04-17 00:14:25.011392,1 Ripe Apple,99.99994039535522,,
2026-04-17 00:14:35.944434,4 Ripe Banana,99.95006918907166,,
2026-04-17 00:19:55.501734,Ripe Apple,100.0,,
2026-04-17 00:20:06.094531,Ripe Banana,100.0,,
2026-04-17 00:20:16.675193,Ripe Mango,99.9908685684204,,
2026-04-17 00:20:23.494681,Ripe Banana,99.95006918907166,,
2026-04-17 00:20:30.084590,Ripe Tomato,99.99969601631165,,
2026-04-17 00:20:39.399455,Ripe Tomato,99.93562698364258,,
2026-04-17 00:25:06.305898,Apple,99.99995231628418,,
2026-04-17 00:25:15.062864,Banana,96.3865041732788,,
2026-04-17 00:25:22.108207,Banana,99.89553689956664,,
2026-04-17 00:25:36.786927,Orange,96.46227955818176,,
2026-04-17 10:23:39.568538,Apple,100.0,,
2026-04-17 10:24:04.712283,Apple,99.99997615814208,,
2026-04-17 10:24:26.661063,Apple,99.99994039535522,,
2026-04-17 10:24:52.978110,Un Apple,99.99982118606567,,
2026-04-17 10:25:09.769409,Un Apple,99.99948740005492,,
2026-04-17 10:25:25.218358,Un Banana,100.0,,
2026-04-17 10:25:48.387218,Over Apple,99.99263882637024,,
2026-04-17 10:47:05.109083,Overripe Apple,99.99263882637024,,
2026-04-17 10:47:20.542584,Overripe Banana,99.99536275863647,,
2026-04-17 10:49:21.558576,,99.9698281288147,Apple,Overripe
2026-04-17 14:42:32.818720,,99.9698281288147,Apple,Overripe
2026-04-17 14:44:48.142757,,99.9698281288147,Apple,Overripe
2026-04-18 21:41:16.017130,,99.97648000717165,Apple,Overripe
2026-04-18 21:41:24.370280,,100.0,Banana,Overripe
2026-04-18 21:41:29.754789,,99.9908685684204,Apple,Overripe
2026-04-18 21:41:36.742743,,97.8369414806366,Apple,Overripe
